Index,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,PagesLead,Status,PageNumber
27,Break Every Chain,,Will Reagan,F,F#,67,4/4,5910977,2009,Capitol CMG Genesis,Contemporary,4,Final,65
28,Broken Vessels,Amazing Grace,"Joel Houston, Jonas Myrin",G,G,70,4/4,7019974,2014,Hillsong Music Publishing Australia,Contemporary,3,Final,61
29,Build My Life,,"Brett Younker, Karl Martin",G,G,70,4/4,7070345,2016,Kaple Music,Contemporary,2,Final,59
30,Build Your Kingdom Here,,"Gareth Gilkeson, Chris Llewellyn",D,D,137,4/4,6186078,2011,Thankyou Music,Contemporary,3,Final,69
31,Came To My Rescue,,"Dylan Thoma, Joel Davies",C,C,83,4/4,4705190,2005,Hillsong Music Publishing Australia,Contemporary,3,Final,77
32,Christ Is Enough,,"Jonas Myrin, Reuben Morgan",B,B,82,4/4,6514035,2012, Hillsong Music Publishing Australia,Contemporary,4,Final,73
33,Christ The Lord Is Risen Today,,Charles Wesley,C,C,90,4/4,27965,1739,Public Domain,Hymn,1,Final,112
34,Christ The Lord Is Risen Today,He Is Not Dead,"Charles Wesley, Samuel Arnold",C,C,118,4/4,7019316,2014,Integrity's Praise! Music,Contemporary,3,Final,81
35,Come Now Is The Time To Worship,,Brian Doerksen,D,D,98,4/4,2430948,1998,Vineyard Songs,Intermediate,2,Final,201
36,Come Thou Fount,,Robert Robinson,D,D,80,3/4,108389,1758,Public Domain,Hymn,1,Final,120
37,Cornerstone,,"Edward Mote, Eric Liljero",C,C,71,4/4,6158927,2011,Hillsong Music Publishing Australia,Contemporary,3,Final,85
38,Crown Him,Majesty,"Chris Tomlin, Ed Cash",D,"Db,Eb",76,4/4,6463818,2013,Alletrop Music,Contemporary,4,Final,89
39,Crown Him With Many Crowns,,"Matthew Bridges, Godfrey Thring",D,D,92,4/4,23938,1851,Public Domain,Hymn,1,Final,128
40,Days Of Elijah,,Robin Mark,A,Bb,95,4/4,1537904,1996,Song Solutions Daybreak,Intermediate,3,Final,93
41,Death Was Arrested,,"Heath Balltzglier, Brandon Coker",B,B,52,6/8,7046448,2015,Seems Like Music,Contemporary,4,Final,97
