Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,PagesLead,PagesChords,PagesNumbers,Status
"Love Of God, The",,Frederick M. Lehman,D,D,82,3/4,18448,1917,Public Domain,Hymn,2,2,2,Final
Majesty,,Jack Hayford,A,Bb,,4/4,1527,1981,New Spring,Intermediate,2,1,1,Final
Majesty,Here I Am,"Martin Smith, Stuart Garrard",A,Bb,68,4/4,4219071,2004,Curious? Music UK,Contemporary,2,2,2,Final
Man Of Sorrows,,"Brooke Ligertwood, Matt Crocker",F,F,72,4/4,6476063,2012,Hillsong Music Publishing Australia,Contemporary,3,2,2,Final
Mercy,,"Matt Redman, Jonas Myrin",C,C,73,4/4,7000689,2013,Atlas Mountain Songs,Contemporary,3,2,2,Final
Mighty To Save,,"Ben Fielding, Reuben Morgan",A,A,74,4/4,4591782,2006,Hillsong Music Publishing Australia,Contemporary,4,2,2,Final
Mine Eyes Have Seen The Glory,Battle Hymn,Julia W. Howe,G,Bb,90,4/4,24133,1862,Public Domain,Hymn,2,2,2,Final
Mountain,,"Matt Crocker, Joel Houston",D,D,76,4/4,6428853,2012,Hillsong Music Publishing Australia,Contemporary,4,2,,Final
Mountain,You're Wonderful,"Bryan Torwalt, Katie Torwalt",B,B,91,4/4,7065990,2016,Phil Wickham Music,Contemporary,3,2,2,Final
My Lighthouse,,"Gareth Gilkeson, Chris Llewellyn",C,C,110,4/4,7002032,2013,Thankyou Music,Contemporary,3,2,2,Final
My Redeemer Lives,,Reuben Morgan,E,E,138,4/4,2397964,1998,Hillsong Music Publishing Australia,Intermediate,2,2,2,Final
Nearer My God To Thee,,Sarah F. F. Adams,F,F,100,4/4,78835,1841,Public Domain,Hymn,2,3,3,Final
New Wine,,Brooke Ligertwood,A,Bb,77,4/4,7102397,2017,Hillsong Music Publishing Australia,Contemporary,4,2,2,Final
No Longer Slaves,,"Jonathan D. Helser, Brian Johnson",A,Bb,74,4/4,7030123,2014,Bethel Music Publishing,Contemporary,3,2,2,Final
O Church Arise,,"Keith Getty, Stuart Townend",D,D,58,3/4,4611992,2005,Thankyou Music,Contemporary,2,2,2,Final
O Come To The Altar,,"Chris Brown, Mack Brock",B,B,140,6/8,7051511,2015,Elevation Worship Publishing,Contemporary,4,2,2,Final
O Praise The Name,,"Benjamin Hastings, Dean Ussher",C,C,72,4/4,7037787,2015,Hillsong Music Publishing Australia,Contemporary,3,2,2,Final
O The Deep Deep Love Of Jesus,,Samuel T. Francis,Em,Em,72,4/4,137178,1875,Public Domain,Hymn,2,2,2,Final
Oceans,Where Feet May Fail,"Joel Houston, Matt Crocker",D,D,60,4/4,6428767,2012,Hillsong Music Publishing Australia,Contemporary,4,3,3,Final
Oh What Love,,"Aaron Powell, Elias Dummer",D,D,70,4/4,7044259,2015,Thankyou Music,Contemporary,3,2,,Final
Once Again,,Matt Redman,D,Eb,71,4/4,1564362,1995,Thankyou Music,Intermediate,2,1,1,Final
One Thing Remains,Your Love Never Fails,"Brian Johnson, Christa B. Gifford",G,Bb,78,4/4,5508444,2010,ChristaJoy Music Publishing,Contemporary,3,2,2,Final
Onward Christian Soldiers,,Sabine B. Gould,F,F,96,4/4,47017,1865,Public Domain,Hymn,2,2,2,Final
Open The Eyes Of My Heart,,Paul Baloche,E,E,112,4/4,2298355,1997,Integrity's Hosanna! Music,Intermediate,2,1,1,Final
Our God,Water You Turned Into Wine,"Chris Tomlin, Jesse Reeves",B,B,105,4/4,5677416,2010,Atlas Mountain Songs,Contemporary,5,2,2,Final
"Power Of The Cross, The",,"Keith Getty, Stuart Townend",A,A,68,4/4,4490766,2005,Thankyou Music,Contemporary,2,2,2,Final
"Power Of Your Love, The",,Geoff Bullock,A,Bb,85,4/4,917491,1992,Geoff Bullock Music,Intermediate,2,1,1,Final
Praise You In This Storm,,"Bernie Herms, Mark Hall",F,F#,84,4/4,4543620,2005,My Refuge Music,Contemporary,4,2,2,Final
Reckless Love,,"Cory Asbury, Caleb Culver",F,F#,56,6/8,7089641,2017,Cory Asbury Publishing,Contemporary,4,2,2,Final
Resurrecting,,"Chris Brown, Mack Brock",C,Db,74,4/4,7051507,2015,Elevation Worship Publishing,Contemporary,3,2,2,Final
Revelation Song,,Jennie L. Riddle,D,D,60,4/4,4447960,2004,Gateway Create Publishing,Contemporary,3,2,2,Final
Rooftops,,"Lindsey Sweat, Ben Williams",E,E,100,4/4,5875153,2010,Capitol CMG Amplifier,Contemporary,3,2,2,Final
Scandal Of Grace,,"Joel Houston, Matt Crocker",C,C,42,6/8,6428750,2012,Hillsong Music Publishing Australia,Contemporary,2,2,2,Final
Seek Ye First,,Karen Lafferty,C,C,120,4/4,1352,1972,CCCM Music,Intermediate,1,1,1,Final
Shout To The Lord,,Darlene Zschech,A,A,76,4/4,1406918,1993,Wondrous Worship,Intermediate,2,1,1,Final
So Will I,100 Billion X,"Joel Houston, Benjamin Hastings",A,A,64,2/2,7084123,2017,Hillsong Music Publishing Australia,Contemporary,5,3,3,Final
"Solid Rock, The",,Edward Mote,F,F,82,3/4,25417,1834,Public Domain,Hymn,1,2,2,Final
"Stand, The",,Joel Houston,A,A,77,4/4,4705248,2005,Hillsong Music Publishing Australia,Contemporary,2,1,1,Final
Still,Hide Me Now,Reuben Morgan,C,C,70,4/4,3940963,2002,Hillsong Music Publishing Australia,Contemporary,2,1,2,Final
Stronger,,"Ben Fielding, Reuben Morgan",C,C,75,3/4,5060810,2007,Hillsong Music Publishing Australia,Contemporary,3,2,2,Final
Sweetly Broken,,Jeremy Riddle,B,B,96,4/4,4514635,2005,Mercy / Vineyard Publishing,Contemporary,4,2,2,Final
Take My Life And Let It Be,,Frances R. Havergal,F,F,86,4/4,1390,1874,Public Domain,Hymn,1,2,2,Final
There Is A Fountain,,William Cowper,A,Bb,92,4/4,27707,1772,Public Domain,Hymn,2,2,2,Final
There Is A Redeemer,,Melody Green,D,D,92,4/4,11483,1982,Universal Music,Intermediate,1,1,1,Final
This Is Amazing Grace,,"Jeremy Riddle, Josh Farro",G,Bb,100,4/4,6333821,2012,Phil Wickham Music,Contemporary,5,2,2,Final
This Is My Father's World,,"Aaron Purdy, Franklin L. Sheppard",D,D,66,4/4,6167640,2009,Jennie Lee Riddle Music,Contemporary,4,2,2,Final
Tis So Sweet To Trust In Jesus,,Lousa M. R. Stead,G,G,90,4/4,22609,1882,Public Domain,Hymn,1,2,2,Final
To God Be The Glory,,Fanny Jane Crosby,G,G,90,3/4,23426,1875,Public Domain,Hymn,2,1,1,Final
Tremble,,"Andres Figueroa, Hank Bentley",C,C,74,4/4,7065049,2016,All Essential Music,Contemporary,2,2,2,Final
Trust And Obey,,John H. Sammis,F,F,96,3/4,22094,1887,Public Domain,Hymn,1,2,2,Final
Victor's Crown,,"Darlene Zschech, Israel Houghton",C,C,75,4/4,6454621,2013,Worship Together Music,Contemporary,5,2,2,Final
Victory In Jesus,I Heard An Old Old Story,Eugene M. Bartlett,G,G,124,4/4,1259,1939,Public Domain,Hymn,2,1,1,Final
Way Maker,,Osinachi K. O. Egbu,E,E,68,4/4,7115744,2016,Integrity Music Europe,Contemporary,4,2,2,Final
We Believe,,"Matthew Hooper, Richie Fike",D,D,66,4/4,6367165,2015,Integrity Worship Music,Contemporary,4,2,2,Final
What A Beautiful Name,,"Ben Fielding, Brooke Ligertwood",D,D,68,4/4,7068424,2016,Hillsong Music Publishing Australia,Contemporary,3,2,2,Final
What A Friend We Have In Jesus,,"Charles Converse, Joseph Scriven",F,F,,4/4,27714,1855,Public Domain,Hymn,1,1,1,Final
When I Survey The Wondrous Cross,,Isaac Watts,F,F,96,4/4,27893,1707,Public Domain,Hymn,1,2,2,Final
When The Roll Is Called Up Yonder,,James M. Black,G,Ab,108,4/4,31315,1893,Public Domain,Hymn,1,1,1,Final
Who Am I,,Mark Hall,B,B,66,4/4,4196651,2003,My Refuge Music,Contemporary,4,2,2,Final
Who You Say I Am,,"Ben Fielding, Reuben Morgan",A,A,58,6/8,7102401,2017,Hillsong Music Publishing Australia,Contemporary,3,2,2,Final
Whom Shall I Fear,God Of Angel Armies,"Chris Tomlin, Ed Cash",C,C,75,4/4,6440288,2012,Alletrop Music,Contemporary,3,2,2,Final
"Wonderful Cross, The",,"Chris Tomlin, Isaac Watts",D,D,88,4/4,3148435,2000,sixsteps Music,Contemporary,2,1,1,Final
Wonderful Merciful Savior,,"Dawn Rodgers, Eric Wyse",C,C,110,3/4,106879,1989,Curb Dayspring Music,Intermediate,2,2,2,Final
Yet Not I But Through Christ In Me,,"Jonny Robinson, Rich Thompson",C,C,75,4/4,7121852,2018,CityAlight Music,Contemporary,2,3,3,Final
You Are God Alone,Not A God,"Billy J. Foote, Cindy Foote",A,A,70,4/4,4243463,2004,Billy Foote Music,Contemporary,3,2,2,Final
You Are Holy,Prince Of Piece,"Marc Imboden, Tammi Rhoton",G,G,108,4/4,2332149,1994,Imboden Music,Intermediate,4,2,2,Final
You Are My All In All,,Dennis Jernigan,F,F,80,4/4,825356,1991,"Shepherd's Heart Music, Inc.",Intermediate,1,1,1,Final
You Are My King,Amazing Love,Billy J. Foote,E,E,70,4/4,2456623,1996,worshiptogether.com songs,Intermediate,2,1,1,Final
Your Grace Is Enough,,Matt Maher,G,G,116,4/4,4477026,2003,Thankyou Music,Contemporary,3,2,2,Final
Your Great Name,,"Krissy Nordhoff, Michael Neale",C,C,75,4/4,5393329,2008,Integrity's Praise! Music,Contemporary,4,2,2,Final
Your Love Never Fails,,"Anthony Skinner, Chris McClarney",A,Bb,116,4/4,5337172,2008,Thankyou Music,Contemporary,4,1,1,Final
Your Presence Is Heaven,,"Israel Houghton, Micah Massey",D,D,66,4/4,6214751,2012,Integrity Worship Music,Contemporary,2,2,2,Final
