Index,Title,AltTitle,Author,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status
1,"10,000 Reasons",Bless The Lord,"Jonas Myrin, Matt Redman",G,73,4-Apr,6016351,2011,Atlas Mountain Songs,Contemporary,Final
2,A Mighty Fortress Is Our God,,Martin Luther,C,120,4-Apr,42964,1529,Public Domain,Hymn,Final
3,Above All,,"Lenny LeBlanc, Paul Baloche",A,62,4-Apr,2672885,1999,Integrity's Hosanna! Music,Intermediate,Final
4,All Glory Be To Christ,,Dustin Kensrue,E,94,4-Apr,7008232,2012,We Are Younger We Are Faster Music,Contemporary,Final
5,All Heaven Declares,,"Noel Richards, Tricia Richards",A,120,4-Apr,120556,1987,Thankyou Music,Intermediate,Final
6,All The Poor And Powerless,,"David Leonard, Leslie Jordan",A,76,4-Apr,5881130,2011,Integrity's Alleluia! Music,Contemporary,Final
7,All To Us,,"Chris Tomlin, Jesse Reeves",Ab,62,4-Apr,5869860,2010,sixsteps Music,Contemporary,Final
8,Amazing Grace,,"John Newton, John P. Rees",G,90,4-Mar,22025,1779,Public Domain,Hymn,Final
9,Amazing Grace,My Chains Are Gone,"Chris Tomlin, John Newton",F,60,4-Apr,4768151,2006,sixsteps Music,Contemporary,Final
10,Ancient Words,,Lynn DeShazo,E,63,4-Mar,2986399,2001,Integrity's Hosanna! Music,Contemporary,Final
11,And Can It Be,Amazing Love,Charles Wesley,G,110,4-Apr,25280,1738,Public Domain,Hymn,Final
12,Another In The Fire,,"Chris Davenport, Joel Houston",C,67,4-Apr,7124907,2018,Hillsong Music Publishing Australia,Contemporary,Final
13,Are You Washed In The Blood,,Elisha A. Hoffman,Ab,96,4-Apr,21105,1878,Public Domain,Hymn,Final
14,As The Deer,,Martin Nystrom,D,74,4-Apr,1431,1984,Universal Music,Intermediate,Final
15,At The Cross,,"Isaac Watts, Ralph E. Hudson",Eb,82,4-Apr,29499,1707,Public Domain,Hymn,Final
16,At The Cross,Love Ran Red,"Chris Tomlin, Ed Cash",G,72,4-Apr,7017786,2014,Countless Wonder Publishing,Contemporary,Final
17,Be Enthroned,,"Brian Johnson, Hunter Thompson",Db,70,4-Apr,7054178,2015,Bethel Music Publishing,Contemporary,Final
18,Be Thou My Vision,,"Eleanor H. Hull, Mary E. Byrne",Eb,0,4-Mar,30639,1912,Public Domain,Hymn,Final
19,Beautiful One,,Tim Hughes,D,122,4-Apr,3915912,2002,Thankyou Music,Contemporary,Final
20,Because He Lives,,"Gloria Gaither, William J. Gaither",Ab,96,4-Apr,16880,1971,Hanna Street Music,Intermediate,Final
21,Before The Throne Of God Above,,"Charitie L. Bancroft, Vikki Cook",D,76,4-Mar,2306412,1997,Sovereign Grace Worship,Intermediate,Final
22,Behold Our God,,"Jonathan Baird, Meghan Baird",C,73,4-Apr,5937510,2011,Sovereign Grace Praise,Contemporary,Final
23,Behold The Lord,,"Gerald Coates, Noel Richards",G,49,4-Apr,1101763,1991,Thankyou Music,Intermediate,Final
24,Better Is One Day,,Matt Redman,E,77,4-Apr,1097451,1995,Thankyou Music,Intermediate,Final
25,Blessed Assurance,,Fanny J. Crosby,D,66,8-Sep,22324,1873,Public Domain,Hymn,Final
26,Blessed Be Your Name,,"Beth Redman, Matt Redman",B,116,4-Apr,3798438,2002,Thankyou Music,Contemporary,Final
27,Break Every Chain,,Will Reagan,F#,67,4-Apr,5910977,2009,Capitol CMG Genesis,Contemporary,Final
28,Broken Vessels,Amazing Grace,"Joel Houston, Jonas Myrin",G,70,4-Apr,7019974,2014,Hillsong Music Publishing Australia,Contemporary,Final
29,Build My Life,,"Brett Younker, Karl Martin",G,70,4-Apr,7070345,2016,Kaple Music,Contemporary,Final
30,Build Your Kingdom Here,,"Gareth Gilkeson, Chris Llewellyn",D,137,4-Apr,6186078,2011,Thankyou Music,Contemporary,Final
31,Came To My Rescue,,"Dylan Thoma, Joel Davies",C,83,4-Apr,4705190,2005,Hillsong Music Publishing Australia,Contemporary,Final
32,Christ Is Enough,,"Jonas Myrin, Reuben Morgan",B,82,4-Apr,6514035,2012, Hillsong Music Publishing Australia,Contemporary,Final
33,Christ The Lord Is Risen Today,,Charles Wesley,C,90,4-Apr,27965,1739,Public Domain,Hymn,Final
34,Christ The Lord Is Risen Today,He Is Not Dead,"Charles Wesley, Samuel Arnold",C,118,4-Apr,7019316,2014,Integrity's Praise! Music,Contemporary,Final
35,Come Now Is The Time To Worship,,Brian Doerksen,D,98,4-Apr,2430948,1998,Vineyard Songs,Intermediate,Final
36,Come Thou Fount,,Robert Robinson,D,80,4-Mar,108389,1758,Public Domain,Hymn,Final
37,Cornerstone,,"Edward Mote, Eric Liljero",C,71,4-Apr,6158927,2011,Hillsong Music Publishing Australia,Contemporary,Final
38,Crown Him,Majesty,"Chris Tomlin, Ed Cash","Db,Eb",76,4-Apr,6463818,2013,Alletrop Music,Contemporary,Final
39,Crown Him With Many Crowns,,"Matthew Bridges, Godfrey Thring",D,92,4-Apr,23938,1851,Public Domain,Hymn,Final
40,Days Of Elijah,,Robin Mark,Bb,95,4-Apr,1537904,1996,Song Solutions Daybreak,Intermediate,Final
41,Death Was Arrested,,"Heath Balltzglier, Brandon Coker",B,52,8-Jun,7046448,2015,Seems Like Music,Contemporary,Final
42,Death Where Is Your Sting,,"Cory Asbury, Anna Asbury",C,79,4-Apr,7102440,2017,Cory Asbury Publishing,Contemporary,Final
43,Do It Again,,"Steven Furtick, Matt Redman",Bb,86,4-Apr,7067555,2016,Said And Done Music,Contemporary,Final
44,Even So Come,,"Chris Tomlin, Jason Ingram",G,163,8-Jun,7036288,2015,S. D. G. Publishing,Contemporary,Final
45,Ever Be,,"Bobby Strand, Chris Greely",D,69,4-Apr,7030065,2014,Bethel Music Publishing,Contemporary,Final
46,Everlasting God,,"Brenton Brown, Ken Riley",Bb,100,4-Apr,4556538,2005,Thankyou Music,Contemporary,Final
47,Faithful,,"Chris Tomlin, Christy Nockels",Gb,66,4-Apr,5869877,2010,sixsteps Music,Contemporary,Final
48,Forever,,Chris Tomlin,A,120,4-Apr,3148428,2001,sixsteps Music,Contemporary,Final
49,Forever,We Sing Hallelujah,"Brian Johnson, Christa Black Gifford",A,73,4-Apr,7001228,2013,Kari Jobe Carnes Music,Contemporary,Final
50,Forgiven,,"David Crowder, Ed Cash",B,76,4-Apr,7068806,2016,Alletrop Music,Contemporary,Final
51,From The Inside Out,,Joel Houston,C,76,4-Apr,4705176,2005,Hillsong Music Publishing Australia,Contemporary,Final
