Index,Artist,Album,Song,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status,Pages,PageNumber,Type,FileName
11,,,,And Can It Be,Amazing Love,Charles Wesley,G,G,110,4-Apr,25280,1738,Public Domain,Hymn,Final,2,27,LeadSheet,And Can It Be (Amazing Love) (G).pdf
12,,,,Another In The Fire,,"Chris Davenport, Joel Houston",C,C,67,4-Apr,7124907,2018,Hillsong Music Publishing Australia,Contemporary,Final,6,29,LeadSheet,Another In The Fire (C).pdf
13,,,,Are You Washed In The Blood,,Elisha A. Hoffman,G,Ab,96,4-Apr,21105,1878,Public Domain,Hymn,Final,1,64,LeadSheet,Are You Washed In The Blood (G).pdf
14,,,,As The Deer,,Martin Nystrom,D,D,74,4-Apr,1431,1984,Universal Music,Intermediate,Final,1,72,LeadSheet,As The Deer (D).pdf
15,,,,At The Cross,,"Isaac Watts, Ralph E. Hudson",D,Eb,82,4-Apr,29499,1707,Public Domain,Hymn,Final,1,80,LeadSheet,At The Cross (D).pdf
16,,,,At The Cross,Love Ran Red,"Chris Tomlin, Ed Cash",G,G,72,4-Apr,7017786,2014,Countless Wonder Publishing,Contemporary,Final,5,37,LeadSheet,At The Cross (Love Ran Red) (G).pdf
17,,,,Be Enthroned,,"Brian Johnson, Hunter Thompson",C,Db,70,4-Apr,7054178,2015,Bethel Music Publishing,Contemporary,Final,5,45,LeadSheet,Be Enthroned (C).pdf
18,,,,Be Thou My Vision,,"Eleanor H. Hull, Mary E. Byrne",D,Eb,0,4-Mar,30639,1912,Public Domain,Hymn,Final,1,84,LeadSheet,Be Thou My Vision (D).pdf
19,,,,Beautiful One,,Tim Hughes,D,D,122,4-Apr,3915912,2002,Thankyou Music,Contemporary,Final,3,42,LeadSheet,Beautiful One (D).pdf
20,,,,Because He Lives,,"Gloria Gaither, William J. Gaither",G,Ab,96,4-Apr,16880,1971,Hanna Street Music,Intermediate,Final,2,35,LeadSheet,Because He Lives (G).pdf
21,,,,Before The Throne Of God Above,,"Charitie L. Bancroft, Vikki Cook",D,D,76,4-Mar,2306412,1997,Sovereign Grace Worship,Intermediate,Final,2,53,LeadSheet,Before The Throne Of God Above (D).pdf
22,,,,Behold Our God,,"Jonathan Baird, Meghan Baird",C,C,73,4-Apr,5937510,2011,Sovereign Grace Praise,Contemporary,Final,2,55,LeadSheet,Behold Our God (C).pdf
23,,,,Behold The Lord,,"Gerald Coates, Noel Richards",G,G,49,4-Apr,1101763,1991,Thankyou Music,Intermediate,Final,1,88,LeadSheet,Behold The Lord (G).pdf
24,,,,Better Is One Day,,Matt Redman,E,E,77,4-Apr,1097451,1995,Thankyou Music,Intermediate,Final,3,50,LeadSheet,Better Is One Day (E).pdf
25,,,,Blessed Assurance,,Fanny J. Crosby,D,D,66,8-Sep,22324,1873,Public Domain,Hymn,Final,1,96,LeadSheet,Blessed Assurance (D).pdf
26,,,,Blessed Be Your Name,,"Beth Redman, Matt Redman",B,B,116,4-Apr,3798438,2002,Thankyou Music,Contemporary,Final,2,57,LeadSheet,Blessed Be Your Name (B).pdf
27,,,,Break Every Chain,,Will Reagan,F,F#,67,4-Apr,5910977,2009,Capitol CMG Genesis,Contemporary,Final,4,65,LeadSheet,Break Every Chain (F).pdf
28,,,,Broken Vessels,Amazing Grace,"Joel Houston, Jonas Myrin",G,G,70,4-Apr,7019974,2014,Hillsong Music Publishing Australia,Contemporary,Final,3,61,LeadSheet,Broken Vessels (Amazing Grace) (G).pdf
29,,,,Build My Life,,"Brett Younker, Karl Martin",G,G,70,4-Apr,7070345,2016,Kaple Music,Contemporary,Final,2,59,LeadSheet,Build My Life (G).pdf
30,,,,Build Your Kingdom Here,,"Gareth Gilkeson, Chris Llewellyn",D,D,137,4-Apr,6186078,2011,Thankyou Music,Contemporary,Final,3,69,LeadSheet,Build Your Kingdom Here (D).pdf
31,,,,Came To My Rescue,,"Dylan Thoma, Joel Davies",C,C,83,4-Apr,4705190,2005,Hillsong Music Publishing Australia,Contemporary,Final,3,77,LeadSheet,Came To My Rescue (C).pdf
32,,,,Christ Is Enough,,"Jonas Myrin, Reuben Morgan",B,B,82,4-Apr,6514035,2012, Hillsong Music Publishing Australia,Contemporary,Final,4,73,LeadSheet,Christ Is Enough (B).pdf
33,,,,Christ The Lord Is Risen Today,,Charles Wesley,C,C,90,4-Apr,27965,1739,Public Domain,Hymn,Final,1,112,LeadSheet,Christ The Lord Is Risen Today (C).pdf
34,,,,Christ The Lord Is Risen Today,He Is Not Dead,"Charles Wesley, Samuel Arnold",C,C,118,4-Apr,7019316,2014,Integrity's Praise! Music,Contemporary,Final,3,81,LeadSheet,Christ The Lord Is Risen Today (He Is Not Dead) (C).pdf
35,,,,Come Now Is The Time To Worship,,Brian Doerksen,D,D,98,4-Apr,2430948,1998,Vineyard Songs,Intermediate,Final,2,201,LeadSheet,Come Now Is The Time To Worship (D).pdf
36,,,,Come Thou Fount,,Robert Robinson,D,D,80,4-Mar,108389,1758,Public Domain,Hymn,Final,1,120,LeadSheet,Come Thou Fount (D).pdf
