Index,Artist,Album,Song,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status,Pages,PageNumber,Type,FileName
34,,,,Christ The Lord Is Risen Today,He Is Not Dead,"Charles Wesley, Samuel Arnold",C,C,118,4-Apr,7019316,2014,Integrity's Praise! Music,Contemporary,Final,,,NumberChart,christ-the-lord-is-risen-today-he-is-not-dead-#.pdf
35,,,,Come Now Is The Time To Worship,,Brian Doerksen,D,D,98,4-Apr,2430948,1998,Vineyard Songs,Intermediate,Final,,,NumberChart,come-now-is-the-time-to-worship-#.pdf
36,,,,Come Thou Fount,,Robert Robinson,D,D,80,4-Mar,108389,1758,Public Domain,Hymn,Final,,,NumberChart,come-thou-fount-#.pdf
37,,,,Cornerstone,,"Edward Mote, Eric Liljero",C,C,71,4-Apr,6158927,2011,Hillsong Music Publishing Australia,Contemporary,Final,,,NumberChart,cornerstone-#.pdf
38,,,,Crown Him,Majesty,"Chris Tomlin, Ed Cash",D,"Db,Eb",76,4-Apr,6463818,2013,Alletrop Music,Contemporary,Final,,,NumberChart,crown-him-majesty-#.pdf
39,,,,Crown Him With Many Crowns,,"Matthew Bridges, Godfrey Thring",D,D,92,4-Apr,23938,1851,Public Domain,Hymn,Final,,,NumberChart,crown-him-with-many-crowns-#.pdf
40,,,,Days Of Elijah,,Robin Mark,A,Bb,95,4-Apr,1537904,1996,Song Solutions Daybreak,Intermediate,Final,,,NumberChart,days-of-elijah-#.pdf
41,,,,Death Was Arrested,,"Heath Balltzglier, Brandon Coker",B,B,52,8-Jun,7046448,2015,Seems Like Music,Contemporary,Final,,,NumberChart,death-was-arrested-#.pdf
42,,,,Death Where Is Your Sting,,"Cory Asbury, Anna Asbury",C,C,79,4-Apr,7102440,2017,Cory Asbury Publishing,Contemporary,Final,,,NumberChart,death-where-is-your-sting-#.pdf
43,,,,Do It Again,,"Steven Furtick, Matt Redman",A,Bb,86,4-Apr,7067555,2016,Said And Done Music,Contemporary,Final,,,NumberChart,do-it-again-#.pdf
44,,,,Even So Come,,"Chris Tomlin, Jason Ingram",G,G,163,8-Jun,7036288,2015,S. D. G. Publishing,Contemporary,Final,,,NumberChart,even-so-come-#.pdf
45,,,,Ever Be,,"Bobby Strand, Chris Greely",D,D,69,4-Apr,7030065,2014,Bethel Music Publishing,Contemporary,Final,,,NumberChart,ever-be-#.pdf
46,,,,Everlasting God,,"Brenton Brown, Ken Riley",A,Bb,100,4-Apr,4556538,2005,Thankyou Music,Contemporary,Final,,,NumberChart,everlasting-god-#.pdf
47,,,,Faithful,,"Chris Tomlin, Christy Nockels",F,Gb,66,4-Apr,5869877,2010,sixsteps Music,Contemporary,Final,,,NumberChart,
48,,,,Forever,,Chris Tomlin,A,A,120,4-Apr,3148428,2001,sixsteps Music,Contemporary,Final,,,NumberChart,forever-#.pdf
49,,,,Forever,We Sing Hallelujah,"Brian Johnson, Christa Black Gifford",A,A,73,4-Apr,7001228,2013,Kari Jobe Carnes Music,Contemporary,Final,,,NumberChart,forever-we-sing-hallelujah-#.pdf
50,,,,Forgiven,,"David Crowder, Ed Cash",B,B,76,4-Apr,7068806,2016,Alletrop Music,Contemporary,Final,,,NumberChart,forgiven-#.pdf
51,,,,From The Inside Out,,Joel Houston,C,C,76,4-Apr,4705176,2005,Hillsong Music Publishing Australia,Contemporary,Final,,,NumberChart,from-the-inside-out-#.pdf
52,,,,Glorious Day,,"Kristian Stanfill, Jason Ingram",D,D,110,4-Apr,7081388,2017,Kristian Stanfill Publishing Designee,Contemporary,Final,,,NumberChart,glorious-day-#.pdf
53,,,,Glorious Day,Living He Loved Me,"John W. Chapman, Mark Hall",B,B,120,4-Apr,5638022,2009,My Refuge Music,Contemporary,Final,,,NumberChart,glorious-day-living-he-loved-me-#.pdf
54,,,,God Of This City,,"Aaron Boyd, Andrew McCann",C,C,80,4-Apr,5037070,2006,sixsteps Music,Contemporary,Final,,,NumberChart,god-of-this-city-#.pdf
55,,,,God Of Wonders,,"Marc Byrd, Steve Hindalong",G,"Ab,Bb",82,4-Apr,3118757,2000,Never Say Never Songs,Contemporary,Final,,,NumberChart,god-of-wonders-#.pdf
56,,,,Good Good Father,,"Anthony Brown, Pat Barrett",A,A,48,8-Jun,7036612,2014,Capitol CMG Paragon,Contemporary,Final,,,NumberChart,good-good-father-#.pdf
