Index,Artist,Album,Song,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status,Pages,PageNumber,Type,FileName
29,,,,Build My Life,,"Brett Younker, Karl Martin",G,G,70,4-Apr,7070345,2016,Kaple Music,Contemporary,Final,,,ChordSheet,build-my-life-G.pdf
30,,,,Build Your Kingdom Here,,"Gareth Gilkeson, Chris Llewellyn",D,D,137,4-Apr,6186078,2011,Thankyou Music,Contemporary,Final,,,ChordSheet,build-your-kingdom-here-D.pdf
31,,,,Came To My Rescue,,"Dylan Thoma, Joel Davies",C,C,83,4-Apr,4705190,2005,Hillsong Music Publishing Australia,Contemporary,Final,,,ChordSheet,came-to-my-rescue-C.pdf
32,,,,Christ Is Enough,,"Jonas Myrin, Reuben Morgan",B,B,82,4-Apr,6514035,2012, Hillsong Music Publishing Australia,Contemporary,Final,,,ChordSheet,christ-is-enough-B.pdf
33,,,,Christ The Lord Is Risen Today,,Charles Wesley,C,C,90,4-Apr,27965,1739,Public Domain,Hymn,Final,,,ChordSheet,christ-the-lord-is-risen-today-C.pdf
34,,,,Christ The Lord Is Risen Today,He Is Not Dead,"Charles Wesley, Samuel Arnold",C,C,118,4-Apr,7019316,2014,Integrity's Praise! Music,Contemporary,Final,,,ChordSheet,christ-the-lord-is-risen-today-he-is-not-dead-C.pdf
35,,,,Come Now Is The Time To Worship,,Brian Doerksen,D,D,98,4-Apr,2430948,1998,Vineyard Songs,Intermediate,Final,,,ChordSheet,come-now-is-the-time-to-worship-D.pdf
36,,,,Come Thou Fount,,Robert Robinson,D,D,80,4-Mar,108389,1758,Public Domain,Hymn,Final,,,ChordSheet,come-thou-fount-d.pdf
37,,,,Cornerstone,,"Edward Mote, Eric Liljero",C,C,71,4-Apr,6158927,2011,Hillsong Music Publishing Australia,Contemporary,Final,,,ChordSheet,cornerstone-C.pdf
38,,,,Crown Him,Majesty,"Chris Tomlin, Ed Cash",D,"Db,Eb",76,4-Apr,6463818,2013,Alletrop Music,Contemporary,Final,,,ChordSheet,crown-him-majesty-D.pdf
39,,,,Crown Him With Many Crowns,,"Matthew Bridges, Godfrey Thring",D,D,92,4-Apr,23938,1851,Public Domain,Hymn,Final,,,ChordSheet,crown-him-with-many-crowns-D.pdf
40,,,,Days Of Elijah,,Robin Mark,A,Bb,95,4-Apr,1537904,1996,Song Solutions Daybreak,Intermediate,Final,,,ChordSheet,days-of-elijah-A.pdf
41,,,,Death Was Arrested,,"Heath Balltzglier, Brandon Coker",B,B,52,8-Jun,7046448,2015,Seems Like Music,Contemporary,Final,,,ChordSheet,death-was-arrested-B.pdf
42,,,,Death Where Is Your Sting,,"Cory Asbury, Anna Asbury",C,C,79,4-Apr,7102440,2017,Cory Asbury Publishing,Contemporary,Final,,,ChordSheet,death-where-is-your-sting-C.pdf
43,,,,Do It Again,,"Steven Furtick, Matt Redman",A,Bb,86,4-Apr,7067555,2016,Said And Done Music,Contemporary,Final,,,ChordSheet,do-it-again-A.pdf
44,,,,Even So Come,,"Chris Tomlin, Jason Ingram",G,G,163,8-Jun,7036288,2015,S. D. G. Publishing,Contemporary,Final,,,ChordSheet,even-so-come-G.pdf
45,,,,Ever Be,,"Bobby Strand, Chris Greely",D,D,69,4-Apr,7030065,2014,Bethel Music Publishing,Contemporary,Final,,,ChordSheet,ever-be-D.pdf
46,,,,Everlasting God,,"Brenton Brown, Ken Riley",A,Bb,100,4-Apr,4556538,2005,Thankyou Music,Contemporary,Final,,,ChordSheet,everlasting-god-A.pdf
